common/ichi.wav	イチ
common/itsu.wav	イツ
common/hito.wav	ひと
g1/e4b880_hitotsu.wav	ひと・つ
g1/e78e8b_oukoku.wav	王国（おうこく）	a kingdom
g1/e78e8b_kokuou.wav	国王（こくおう）	King, a monarch, a sovereign
g1/e78e8b_joou.wav	女王（じょおう）	Queen
g1/e78e8b_ouji.wav	王子（おうじ）	a Royal prince
g1/e78e8b_oujo.wav	王女（おうじょ）	a Royal princess
g1/e78e8b_ouzoku.wav	王族（おうぞく）	a royal family, royalty
common/on.wav	オン
common/in.wav	*イン
common/oto.wav	おと
common/ne.wav	ね
g1/e99fb3_ongaku.wav	音楽（おんがく）	music
g1/e99fb3_ongakuka.wav	音楽家（おんがくか）	a musician ☆＝ミュージシャン
g1/e99fb3_fukuin.wav	福音（ふくいん）	the Gospel, good news, a boon
g1/e99fb3_otosataganai.wav	音沙汰がない（おとさたがない）	have heard no news,
g1/e99fb3_neiro.wav	音色（ねいろ）	timbre, a tone color
common/ka.wav	カ
common/ge.wav	ゲ
common/shita.wav	した
common/shimo.wav	しも
common/moto.wav	もと
g1/e4b88b_sagaru.wav	さ・がる
common/sageru.wav	さ・げる
g1/e4b88b_kudaru.wav	くだ・る
g1/e4b88b_kudasu.wav	くだ・す
g1/e4b88b_kudasaru.wav	くだ・さる
common/orosu.wav	お・ろす
common/oriru.wav	お・りる
g1/e4b88b_kakousuru.wav	下降する（かこうする）	fall, go down, drop, descend
g1/e4b88b_gehinnnakaiwa.wav	下品な会話（げひんなかいわ）	vulgar conversation,
g1/e4b88b_shitagokoro.wav	下心（したごころ）	a secret intention,
g1/e4b88b_shimoza.wav	下座（しもざ）	the lower seat (the seat furthest
g1/e4b88b_taiyounomotode.wav	太陽の下で（たいようのもとで）	under the sun
g1/e4b88b_ipposagaru.wav	一歩下がる（いっぽさがる）	take a step backward
g1/e4b88b_atamawosageru.wav	頭を下げる（あたまをさげる）	apologize
g1/e4b88b_kawawokudaru.wav	川を下る（かわをくだる）	go down a river
g1/e4b88b_meireiwokudasu.wav	命令を下す（めいれいをくだす）	issue orders,
g1/e4b88b_madowoaketekudasaru.wav	窓を開けて下さる？（まどをあけてくださる）	
g1/e4b88b_yokinwoorosu.wav	預金を下ろす（よきんをおろす）	withdraw one's savings
g1/e4b88b_yamawooriru.wav	山を下りる（やまをおりる）	descend the mountain,
g1/e4b88b_heta.wav	下手（へた）	clumsy, poor,
common/ka.wav	カ
common/ko.wav	*コ
common/hi.wav	ひ
common/ho.wav	*ほ
g1/e781ab_kayoubi.wav	火曜日（かようび）	Tuesday
common/kaji.wav	火事（かじ）	a fire ☆＝火災（かさい）
g1/e781ab_karyoku.wav	火力（かりょく）	heating (thermal) power, firepower
g1/e781ab_kotatsu.wav	火たつ（こたつ）	a Japanese foot warmer
g1/e781ab_hanabi.wav	花火（はなび）	fireworks
g1/e781ab_hibana.wav	火花（ひばな）	a spark
g1/e781ab_hoteru.wav	火照る（ほてる）	feel hot, flush, be all aglow
g1/e781ab_yakedo.wav	火傷（やけど）	a burn, a scald
common/ka.wav	カ
common/hana.wav	はな
g1/e88ab1_kabin.wav	花瓶（かびん）	a vase
g1/e88ab1_rakkasei.wav	落花生（らっかせい）	a peanut, a groundnut
g1/e88ab1_hanayome.wav	花嫁（はなよめ）	a bride ☆＝新婦（しんぷ）
common/kai.wav	かい
g1/e8b29d_kaigara.wav	貝殻（かいがら）	a seashell
g1/e5ada6_gaku.wav	ガク
g1/e5ada6_manabu.wav	まな・ぶ
g1/e5ada6_gakuensai.wav	学園祭（がくえんさい）	a campus festival,
g1/e5ada6_ichigakki.wav	一学期（いちがっき）	the first term,
g1/e5ada6_shinrigaku.wav	心理学（しんりがく）	psychology
g1/e5ada6_keizaigaku.wav	経済学（けいざいがく）	economics
g1/e5ada6_gengogaku.wav	言語学（げんごがく）	linguistics
g1/e5ada6_tenmongaku.wav	天文学（てんもんがく）	astronomy
g1/e5ada6_kenchikugaku.wav	建築学（けんちくがく）	architecture
g1/e5ada6_jinruigaku.wav	人類学（じんるいがく）	anthropology
g1/e5ada6_daisuugakuwomanabu.wav	代数学を学ぶ（だいすうがくをまなぶ）	learn Algebra
common/ki.wav	キ
common/ke.wav	ケ
g1/e6b097_kimochi.wav	気持ち（きもち）	feeling, a sensation, an intention
g1/e6b097_kinishinaide.wav	気にしないで（きにしないで）	Never mind.,
g1/e6b097_honkinisuru.wav	本気にする（ほんきにする）	take seriously, believe
g1/e6b097_okiniirinoburatopantsu.wav	お気に入りのブラとパンツ（おきにいりのぶらとぱんつ）	
g1/e6b097_yarukiganai.wav	やる気がない（やるきがない）	be spiritless,
g1/e6b097_kimagure.wav	気紛れ（きまぐれ）	a whim, caprice, whimsy,
g1/e6b097_kehai.wav	気配（けはい）	an indication, a sign
g1/e6b097_nanigenaku.wav	何気なく（なにげなく）	casually, unintentionally,
g1/e6b097_ikujinashi.wav	意気地無し（いくじなし）	a coward,
common/ku.wav	ク
common/kyuu.wav	キュウ
g1/e4b99d_kokono.wav	ここの
g1/e4b99d_kokonotsu.wav	ここの・つ
g1/e4b99d_kugatsu.wav	九月，９月（くがつ）	September ☆＝長月（ながつき）
g1/e4b99d_kyuukanchou.wav	九官鳥（きゅうかんちょう）	a hill myna
g1/e4b99d_kokonoka.wav	九日，９日（ここのか）	nine days, the ninth day
g1/e4b99d_kokonotsu.wav	九つ，９つ（ここのつ）	nine, nine pieces ☆＝九個（きゅうこ）
common/kyuu.wav	キュウ
g1/e4bc91_yasumu.wav	やす・む
g1/e4bc91_yasumi.wav	やす・み
g1/e4bc91_yasumaru.wav	やす・まる
g1/e4bc91_yasumeru.wav	やす・める
g1/e4bc91_kyuuka.wav	休暇（きゅうか）	a holiday, a day off, a vacation
g1/e4bc91_shigotowoyasumu.wav	仕事を休む（しごとをやすむ）	be absent from work
g1/e4bc91_oyasuminasai.wav	お休みなさい（おやすみなさい）	Good night.
g1/e4bc91_kinoyasumarutokiganai.wav	気の休まる時がない（きのやすまるときがない）	
g1/e4bc91_atamawoyasumeru.wav	頭を休める（あたまをやすめる）	rest one's brain
g1/e78e89_gyoku.wav	ギョク
common/tama.wav	たま
g1/e78e89_gyokuza.wav	玉座（ぎょくざ）	the throne
g1/e78e89_tamatsukijiko.wav	玉突き事故（たまつきじこ）	a pileup,
g1/e78e89_otoshidama.wav	お年玉（おとしだま）	money given as a gift
common/kin.wav	キン
common/kon.wav	コン
common/kane.wav	かね
common/kana.wav	*かな
g1/e98791_kinnyoubi.wav	金曜日（きんようび）	Friday
g1/e98791_kongouriki.wav	金剛力（こんごうりき）	Herculean strength
g1/e98791_ougonjidai.wav	黄金時代（おうごんじだい）	the golden age,
g1/e98791_kanemochi.wav	金持ち（かねもち）	a rich man, a person of wealth
g1/e98791_kanaduchi.wav	金槌（かなづち）	a hammer ☆＝ハンマー，とんかち
common/kuu.wav	クウ
g1/e7a9ba_sora.wav	そら
common/kara.wav	から
g1/e7a9ba_aku.wav	あ・く
common/akeru.wav	あ・ける
common/suku.wav	*す・く
g1/e7a9ba_kuuki.wav	空気（くうき）	air, an atmosphere
g1/e7a9ba_soramimi.wav	空耳（そらみみ）	mishearing
g1/e7a9ba_karate.wav	空手（からて）	Karate
g1/e7a9ba_karaoke.wav	空オケ（からおけ）	Karaoke (It means an orchestral
g1/e7a9ba_tegaaku.wav	手が空く（てがあく）	be free
g1/e7a9ba_sekiwoakeru.wav	席を空ける（せきをあける）	make room
g1/e7a9ba_onakagasuita.wav	おなかが空いた（おなかがすいた）	I am (feel) hungry.
g1/e7a9ba_munenosukuomoigasuru.wav	胸の空く思いがする（むねのすくおもいがする）	
g1/e69c88_getsu.wav	ゲツ
g1/e69c88_gatsu.wav	ガツ
common/tsuki.wav	つき
g1/e69c88_getsuyoubi.wav	月曜日（げつようび）	Monday
g1/e69c88_ikkagetsu.wav	一か月，１か月（いっかげつ）	one month
g1/e69c88_kongetsu.wav	今月（こんげつ）	this month
g1/e69c88_raigetsu.wav	来月（らいげつ）	next month
g1/e69c88_sengetsu.wav	先月（せんげつ）	last month
g1/e69c88_seinengappi.wav	生年月日（せいねんがっぴ）	the date of birth
g1/e69c88_tsukiakari.wav	月明かり（つきあかり）	moonlight ☆＝月光（げっこう）
common/ken.wav	ケン
common/inu.wav	いぬ
g1/e78aac_moudouken.wav	盲導犬（もうどうけん）	a seeing-eye dog, a guide dog
g1/e78aac_banken.wav	番犬（ばんけん）	a watchdog
g1/e78aac_koinu.wav	子犬（こいぬ）	a puppy, a pup, a whelp
g1/e78aac_inugoya.wav	犬小屋（いぬごや）	a doghouse, a kennel
common/ken.wav	ケン
common/miru.wav	み・る
g1/e8a68b_mieru.wav	み・える
g1/e8a68b_miseru.wav	み・せる
g1/e8a68b_kengakusuru.wav	見学する（けんがくする）	visit, look on, observe
g1/e8a68b_kenbutsusuru.wav	見物する（けんぶつする）	see, see the sights,
g1/e8a68b_sorehamimonoda.wav	それは見物だ（それはみものだ）	It's a spectacle.,
g1/e8a68b_animeeigawomiru.wav	アニメ映画を見る（あにめえいがをみる）	watch
g1/e8a68b_yo-kumitete.wav	よーく見てて（よーくみてて）	Watch closely (carefully).
g1/e8a68b_mitakagirideha.wav	見た限りでは（みたかぎりでは）	seemingly, apparently,
g1/e8a68b_noyounimieru.wav	～のように見える（のようにみえる）	seem to be ~,
g1/e8a68b_menimienai.wav	目に見えない（めにみえない）	invisible, unseen
g1/e8a68b_mamonakuomieninarimasu.wav	間もなくお見えになります（まもなくおみえになります）	
g1/e8a68b_misetekudasai.wav	見せてください（みせてください）	Let me see it.,
g1/e8a68b_dekirudakekawaikumiseru.wav	できるだけ可愛く見せる（できるだけかわいくみせる）	
common/go.wav	ゴ
common/itsu.wav	いつ
g1/e4ba94_itsutsu.wav	いつ・つ
g1/e4ba94_gogatsu.wav	五月，５月（ごがつ）	May ☆＝皐月，五月（さつき）
g1/e4ba94_itsuka.wav	五日，５日（いつか）	five days, the fifth day
g1/e4ba94_itsutsu.wav	五つ，５つ（いつつ）	five, five pieces ☆＝五個（ごこ）
g1/e4ba94_satsukibare.wav	五月晴れ（さつきばれ）	clear day in May
common/kou.wav	コウ
common/ku.wav	ク
g1/e58fa3_kuchi.wav	くち
g1/e58fa3_koujitsu.wav	口実（こうじつ）	a pretext, a pretense, an excuse
g1/e58fa3_kudoku.wav	口説く（くどく）	court, woo ☆＝言い寄る（いいよる）
g1/e58fa3_kuchigotae.wav	口答え（くちごたえ）	back talk, a retort
g1/e58fa3_kuchikomi.wav	口コミ（くちこみ）	word-of-mouth communication,
g1/e58fa3_hitokuchidetaberu.wav	一口で食べる（ひとくちでたべる）	eat it at a mouthful
g1/e58fa3_hitokuchinoru.wav	一口乗る（ひとくちのる）	take a share in ~
g1/e58fa3_okuchiniautoiinodesuga.wav	お口に合うといいのですが（おくちにあうといいのですが）	
common/kou.wav	コウ
g1/e6a0a1_tenkousuru.wav	転校する（てんこうする）	change one's school,
common/kouka.wav	校歌（こうか）	a school song
g1/e6a0a1_shoukou.wav	将校（しょうこう）	a commissioned officer
common/sa.wav	サ
g1/e5b7a6_hidari.wav	ひだり
g1/e5b7a6_uousaousuru.wav	右往左往する（うおうさおうする）	move around
g1/e5b7a6_hidariashi.wav	左足（ひだりあし）	a left leg
g1/e4b889_san.wav	サン
common/mi.wav	み
g1/e4b889_mitsu.wav	み・つ
g1/e4b889_mittsu.wav	みっ・つ
g1/e4b889_sangatsu.wav	三月，３月（さんがつ）	March ☆＝弥生（やよい）
g1/e4b889_mikaduki.wav	三日月（みかづき）	a new moon, a crescent moon
g1/e4b889_mitsugo.wav	三つ子（みつご）	triplets
g1/e4b889_mittsu.wav	三つ，３つ（みっつ）	three, three pieces ☆＝三個（さんこ）
g1/e4b889_shamisen.wav	三味線（しゃみせん）	stringed
common/san.wav	サン
g1/e5b1b1_yama.wav	やま
g1/e5b1b1_kazan.wav	火山（かざん）	a volcano
g1/e5b1b1_sansai.wav	山菜（さんさい）	edible wild plants
g1/e5b1b1_yamaba.wav	山場（やまば）	the climax, the peak, the crisis
g1/e5b1b1_yamawoharu.wav	山を張る（やまをはる）	speculate on, venture on,
g1/e5b1b1_yamanoyouna.wav	山のような（やまのような）	mountainous, huge
g1/e5b1b1_yarukotogayamahodoaru.wav	やることが山ほどある（やることがやまほどある）	
g1/e5b1b1_yagi.wav	山羊（やぎ）	a goat
common/shi.wav	シ
common/su.wav	ス
common/ko.wav	こ
g1/e5ad90_shigosen.wav	子午線（しごせん）	the meridian
g1/e5ad90_yousu.wav	様子（ようす）	appearances, a look, the situation,
g1/e5ad90_kobun.wav	子分（こぶん）	a follower, a henchman, a following
common/shi.wav	シ
common/yo.wav	よ
g1/e59b9b_yotsu.wav	よ・つ
g1/e59b9b_yottsu.wav	よっ・つ
g1/e59b9b_yon.wav	よん
g1/e59b9b_shigatsu.wav	四月，４月（しがつ）	April ☆＝卯月（うづき）
g1/e59b9b_yojigen.wav	四次元（よじげん）	four dimensions, the fourth dimension
g1/e59b9b_yotsukado.wav	四つ角（よつかど）	a crossroads
g1/e59b9b_yottsu.wav	四つ，４つ（よっつ）	four, four pieces ☆＝四個（よんこ）
g1/e59b9b_yonrinkudou.wav	四輪駆動（よんりんくどう）	4WD, four-wheel-drive
common/shi.wav	シ
g1/e7b3b8_ito.wav	いと
g1/e7b3b8_isshimidarezu.wav	一糸乱れず（いっしみだれず）	in precise order,
g1/e7b3b8_kinuito.wav	絹糸（きぬいと）	silk thread
g1/e7b3b8_keito.wav	毛糸（けいと）	woolen yarn, worsted yarn, wool
common/ji.wav	ジ
g1/e5ad97_aza.wav	*あざ
g1/e5ad97_moji.wav	文字（もじ）	a character, a letter
g1/e5ad97_jimaku.wav	字幕（じまく）	subtitles
g1/e5ad97_aza.wav	字（あざ）	a section, a township
common/ji.wav	ジ
g1/e880b3_mimi.wav	みみ
g1/e880b3_jibika.wav	耳鼻科（じびか）	an ear, nose and throat hospital
g1/e880b3_mimigahayai.wav	耳が早い（みみがはやい）	have keen ears
g1/e880b3_mimiyorinahanashi.wav	耳寄りな話（みみよりなはなし）	welcome news,
common/shichi.wav	シチ
g1/e4b883_nana.wav	なな
g1/e4b883_nanatsu.wav	なな・つ
g1/e4b883_nano.wav	*なの
g1/e4b883_shichigatsu.wav	七月，７月（しちがつ）	July ☆＝文月（ふみづき）
g1/e4b883_oyanonanahikari.wav	親の七光（おやのななひかり）	the influence of parents
g1/e4b883_nanatsu.wav	七つ，７つ（ななつ）	seven, seven pieces ☆＝七個（ななこ）
g1/e4b883_nanoka.wav	七日，７日（なのか）	seven days, the seventh day
g1/e4b883_tanabata.wav	七夕（たなばた）	Star Festival
common/sha.wav	シャ
g1/e8bb8a_kuruma.wav	くるま
g1/e8bb8a_pikapikanoshinsha.wav	ぴかぴかの新車（ぴかぴかのしんしゃ）	
g1/e8bb8a_onboronochuukosha.wav	おんぼろの中古車（おんぼろのちゅうこしゃ）	
g1/e8bb8a_o-tomasha.wav	オートマ車（おーとましゃ）	an automatic car
g1/e8bb8a_shako.wav	車庫（しゃこ）	a garage
g1/e8bb8a_kurumaisu.wav	車椅子（くるまいす）	a wheelchair
common/dashi.wav	山車（だし）	a float (in festival)
common/shu.wav	シュ
common/te.wav	て
common/ta.wav	*た
g1/e6898b_akushu.wav	握手（あくしゅ）	shaking hands, a handshake
g1/e6898b_untenshu.wav	運転手（うんてんしゅ）	a driver ☆＝ドライバー
g1/e6898b_tedukurinoappurupai.wav	手作りのアップルパイ（てづくりのあっぷるぱい）	
g1/e6898b_mottoiitegaaru.wav	もっといい手がある（もっといいてがある）	
g1/e6898b_uwate.wav	上手（うわて）	better hand, superior, surpass, overhand
g1/e6898b_kamite.wav	上手（かみて）	the upper part, the upper course (of a river),
g1/e6898b_shitatenideru.wav	下手に出る（したてにでる）	assume a humble attitude
g1/e6898b_taduna.wav	手綱（たづな）	reins
g1/e6898b_jouzu.wav	上手（じょうず）	good, skillful, clever
common/juu.wav	ジュウ
g1/e58d81_jiltsu.wav	ジッ
g1/e58d81_too.wav	とお
common/to.wav	*と
g1/e58d81_juugatsu.wav	十月，１０月（じゅうがつ）	October
g1/e58d81_jikkai.wav	十戒（じっかい）	the ten commandments
g1/e58d81_tooka.wav	十日，１０日（とおか）	ten days, the tenth day
g1/e58d81_juunintoiro.wav	十人十色（じゅうにんといろ）	
g1/e58d81_misoji.wav	三十路（みそじ）	thirty years of age
g1/e58d81_hatsuka.wav	二十日，２０日（はつか）	twenty days,
g1/e58d81_ohako.wav	十八番（おはこ）	one's favorite trick,
g1/e587ba_shutsu.wav	シュツ
common/sui.wav	*スイ
common/de.wav	で
g1/e587ba_deru.wav	で・る
g1/e587ba_dasu.wav	だ・す
g1/e587ba_shusshi.wav	出資（しゅっし）	investment
g1/e587ba_suitougakari.wav	出納係（すいとうがかり）	a cashier, a teller
g1/e587ba_deguchi.wav	出口（でぐち）	an exit, a way out
g1/e587ba_degaii.wav	出が良い（でがいい）	flow smoothly, sell well
g1/e587ba_kaimononidekakeru.wav	買い物に出かける（かいものにでかける）	
g1/e587ba_shuukainideru.wav	集会に出る（しゅうかいにでる）	attend a meeting
g1/e587ba_bijinkontesutonideru.wav	美人コンテストに出る（びじんこんてすとにでる）	
g1/e587ba_sonomangahasaraishuuderu.wav	その漫画は再来週出る（そのまんがはさらいしゅうでる）	
g1/e587ba_denwanideru.wav	電話に出る（でんわにでる）	answer the telephone (phone)
g1/e587ba_daigakuwoderu.wav	大学を出る（だいがくをでる）	graduate from the university
g1/e587ba_gomannendehaashigaderu.wav	五万円では足が出る（ごまんえんではあしがでる）	
g1/e587ba_nakushitakagigadetekita.wav	無くした鍵が出てきた（なくしたかぎがでてきた）	
g1/e587ba_choushigadetekita.wav	調子が出てきた（ちょうしがでてきた）	
g1/e587ba_ochawodasu.wav	お茶を出す（おちゃをだす）	serve green tea
g1/e587ba_supi-dowodasu.wav	スピードを出す（すぴーどをだす）	speed up, put on speed
g1/e587ba_borowodasu.wav	ぼろを出す（ぼろをだす）	have one's defects exposed,
g1/e587ba_ketsuronwodasu.wav	結論を出す（けつろんをだす）	conclude,
g1/e587ba_shawa-nooyuwodasu.wav	シャワーのお湯を出す（しゃわーのおゆをだす）	
g1/e587ba_sainwodasu.wav	サインを出す（さいんをだす）	give a signal, sign
g1/e587ba_mitsumorishowodasu.wav	見積書を出す（みつもりしょをだす）	submit an estimate,
g1/e587ba_kuchiwodasuna.wav	口を出すな！（くちをだすな）	Don't butt in!,
common/dashi.wav	出し（だし）	(soup) stock ☆＝出汁（だし，だしじる）
common/jo.wav	ジョ
common/nyo.wav	ニョ
common/nyou.wav	*ニョウ
g1/e5a5b3_onnna.wav	おんな
common/me.wav	め
g1/e5a5b3_josei.wav	女性（じょせい）	the female sex, womankind, a woman
g1/e5a5b3_choujo.wav	長女（ちょうじょ）	the first―born daughter,
g1/e5a5b3_jijo.wav	次女（じじょ）	one's second daughter
g1/e5a5b3_nyokan.wav	女官（にょかん）	a court lady
g1/e5a5b3_nyoubou.wav	女房（にょうぼう）	my wife ☆＝妻（つま），家内（かない）,
g1/e5a5b3_onnnamono.wav	女物（おんなもの）	for ladies, ladies'
g1/e5a5b3_megami.wav	女神（めがみ）	a goddess
g1/e5a5b3_memeshii.wav	女々しい（めめしい）	effeminate, unmanly, sissy
g1/e5a5b3_oyama.wav	女形（おやま）	an actor who
common/shou.wav	ショウ
g1/e5b08f_chiisai.wav	ちい・さい
common/ko.wav	こ
common/o.wav	お
common/sa.wav	*さ
g1/e5b08f_shougakkou.wav	小学校（しょうがっこう）	a primary (elementary) school
g1/e5b08f_shougakusei.wav	小学生（しょうがくせい）	a schoolboy, a schoolgirl,
g1/e5b08f_chiisanakoara.wav	小さなコアラ（ちいさなこあら）	a small koala
g1/e5b08f_koishi.wav	小石（こいし）	a pebble, a small stone, gravel
g1/e5b08f_koichijikan.wav	小一時間（こいちじかん）	nearly an hour, almost one hour
g1/e5b08f_komamenihataraku.wav	小まめに働く（こまめにはたらく）	work like a beaver (bee)
g1/e5b08f_ogawa.wav	小川（おがわ）	a stream, a creek, a brook, a rivulet
g1/e5b08f_sayokyoku.wav	小夜曲（さよきょく）	a serenade
common/jou.wav	ジョウ
g1/e4b88a_ue.wav	うえ
g1/e4b88a_uwa.wav	うわ
common/kami.wav	かみ
common/ageru.wav	あ・げる
common/agaru.wav	あ・がる
g1/e4b88a_agari.wav	あ・がり
common/noboru.wav	のぼ・る
g1/e4b88a_joutatsusuru.wav	上達する（じょうたつする）	become skillful,
g1/e4b88a_tsukuenoueni.wav	机の上に（つくえのうえに）	on the desk
g1/e4b88a_uwagi.wav	上着（うわぎ）	outerwear, a coat, a jacket
g1/e4b88a_uwamukininaru.wav	上向きになる（うわむきになる）	turn upward,
g1/e4b88a_kawakami.wav	川上（かわかみ）	the upper part of a river, upstream
g1/e4b88a_tananiageru.wav	棚に上げる（たなにあげる）	put ~ on the shelf,
g1/e4b88a_seikawoageru.wav	成果を上げる（せいかをあげる）	get excellent results
g1/e4b88a_kaidanwoagaru.wav	階段を上がる（かいだんをあがる）	go up the stairs
g1/e4b88a_batteri-gaagatta.wav	バッテリーが上がった（ばってりーがあがった）	
g1/e4b88a_dosokudeieniagaranaidene.wav	土足で家に上がらないでね（どそくでいえにあがらない
g1/e4b88a_yamiagari.wav	病み上がり（やみあがり）	convalescence
g1/e4b88a_uwasaninoboru.wav	噂に上る（うわさにのぼる）	be talked about
common/shin.wav	シン
common/mori.wav	もり
g1/e6a3ae_shinrin.wav	森林（しんりん）	woods, a forest
g1/e6a3ae_chinjunomori.wav	鎮守の森（ちんじゅのもり）	the grove of the
common/jin.wav	ジン
common/nin.wav	ニン
common/hito.wav	ひと
g1/e4baba_jinzouningen.wav	人造人間（じんぞうにんげん）	an android, a cyborg
g1/e4baba_ningen.wav	人間（にんげん）	a human, a human being
g1/e4baba_ichininmae.wav	一人前（いちにんまえ）	a portion for one person,
common/hitode.wav	人手（ひとで）	someone else's hand, a worker,
common/hitode.wav	人出（ひとで）	a crowd of people, a turnout
g1/e4baba_hitodenashi.wav	人で無し（ひとでなし）	a brute, a monster,
g1/e4baba_hitowobakanisuruna.wav	人を馬鹿にするな！（ひとをばかにするな）	
g1/e4baba_otona.wav	大人（おとな）	an adult, a grown-up
g1/e4baba_hitori.wav	一人，１人（ひとり）	one person
common/sui.wav	スイ
g1/e6b0b4_mizu.wav	みず
g1/e6b0b4_suiyoubi.wav	水曜日（すいようび）	Wednesday
g1/e6b0b4_suidousui.wav	水道水（すいどうすい）	tap water, city water
g1/e6b0b4_mizukusai.wav	水臭い（みずくさい）	not frank, reserved, distant,
common/sei.wav	セイ
common/shou.wav	ショウ
g1/e6ada3_tadashii.wav	ただ・しい
common/tadasu.wav	ただ・す
common/masa.wav	まさ
common/masani.wav	まさ・に
g1/e6ada3_seijou.wav	正常（せいじょう）	normality, normal
g1/e6ada3_seishain.wav	正社員（せいしゃいん）	a full-time employee,
common/seiza.wav	正座（せいざ）	to sit straight (upright, square)
g1/e6ada3_shouki.wav	正気（しょうき）	sane, sober, serious
g1/e6ada3_tadashiikaishaku.wav	正しい解釈（ただしいかいしゃく）	the right interpretation
g1/e6ada3_ayamariwotadasu.wav	誤りを正す（あやまりをただす）	correct errors,
g1/e6ada3_masayume.wav	正夢（まさゆめ）	a prophetic dream
g1/e6ada3_masanisonotooridesu.wav	正にその通りです（まさにそのとおりです）	
common/sei.wav	セイ
common/shou.wav	ショウ
g1/e7949f_ikiru.wav	い・きる
g1/e7949f_ikasu.wav	い・かす
common/ikeru.wav	い・ける
common/umareru.wav	う・まれる
common/umu.wav	う・む
common/haeru.wav	は・える
g1/e7949f_hayasu.wav	は・やす
common/naru.wav	な・る
common/ki.wav	き
g1/e7949f_nama.wav	なま
common/o.wav	お
g1/e7949f_seikatsuhi.wav	生活費（せいかつひ）	living expenses
g1/e7949f_seibutsu.wav	生物（せいぶつ）	a living thing, a life form, an organism
g1/e7949f_seiri.wav	生理（せいり）	menstruation, a menstrual period
g1/e7949f_oujougiwagawarui.wav	往生際が悪い（おうじょうぎわがわるい）	accept defeat
g1/e7949f_ikirukashinukanosetogiwa.wav	生きるか死ぬかの瀬戸際（いきるかしぬかのせとぎわ）	
g1/e7949f_taikenwoikasu.wav	体験を生かす（たいけんをいかす）	make the most of
g1/e7949f_ikerushikabane.wav	生ける屍（いけるしかばね）	a living corpse
g1/e7949f_umaretehajimete.wav	生まれて初めて（うまれてはじめて）	for the first
g1/e7949f_gopa-sentonorishiwoumu.wav	５パーセントの利子を生む（ごぱーせんとのりしをうむ）	
g1/e7949f_hanegahaeru.wav	羽が生える（はねがはえる）	grow wings
g1/e7949f_higewohayasu.wav	髭を生やす（ひげをはやす）	grow a beard
g1/e7949f_miganaru.wav	実が生る（みがなる）	bear fruit
g1/e7949f_kissuinopo-randojindesu.wav	生粋のポーランド人です（きっすいのぽーらんどじんです）	
g1/e7949f_namaiki.wav	生意気（なまいき）	impertinence, impertinent, conceited,
g1/e7949f_namamono.wav	生物（なまもの）	uncooked (raw) food, perishables
g1/e7949f_oitachi.wav	生い立ち（おいたち）	one's childhood, personal history
g1/e7949f_ainiku.wav	生憎（あいにく）	unfortunately, unluckily,
